text	HS
@DNC @donnabrazile @SenateGOP @HouseGOP this is the mindset of the people the left are aligning themselves with. #BuildThatWall and tighten our immigration laws. @realDonaldTrump	1
Liberals on odd days: Modi's India is saffron terror, Hindu Taliban, minority lyncher, intolerant, fascist regime.  Liberals on even days: Illegal Muslim Bangladeshi migrants feel home in India. Why should they go?	0
Shut the fuck up, Brandon. You never cared about his Superman. You and a bunch of your buddies are the reason his character was butchered in JL since yall wanted more fun and smiles. Stop with this fake caring act for clout.	0
Has it been a year since Trump turned the left into a bunch of hysterical women 😆 bloody hell time flies #MAGA	1
Deleted again. Working to get it back again https://t.co/DfJKXgfvcf	0
A clear shift (again) on the migratory routes of the Mediterranean. Another proof that no matter what deals European countries strike with African nations, migrants and refugees will find another way through. It's like covering one leak just to find out there are thousands more. https://t.co/qYURrjJxWK	0
Labor migrants transfer almost $ 10 billion a year to Ukraine https://t.co/sVUPqDoH2q	0
Immigration policies around the world need to be redone.... https://t.co/U06wEsujPC	0
I need to detach & destress from work right now because the way these privileged white women are on full bitch mode… https://t.co/1nRkweqEGR	1
Leo after he loses again https://t.co/e0ttCWIIyP	0
@realDonaldTrump do your own thing. I think @LinseyGrahamSC is wrong about shutting the government down. Get the funds you are asking for. You have been right numerous times whereas they have gotten it wrong every time. #BuildThatWall	1
@annmarievazja Skank man .. you got!!	0
I like chilling with women that like women that like men that don’t act like bitch ass niggas	0
So I'm working but a friend of mine is telling me that Corey Booker and Kamala harris are fighting for who is the more hysterical woman in the #KavanaughHearings is that true?#Kavanaugh #KavanaughConfirmation	1
Drowned woman and child and survivor found after Libyan coastguards left them to die on migrant Â… https://t.co/r3cGBspumJ	0
Important: Appeal from GM Police for information re attempted rape of young woman at Green Lane Patricroft at 11.30… https://t.co/kjx44gaRtB	0
Austrian newspaper KURIER dont speak of the new Antisemitism of islamic refugees. https://t.co/Ll8dlQ0JUe	1
@FlamingBot WHAT YOU SAY BITCH NIGGA HOE?	1
